Department,LPO NO,Check,x,NAME OF THE SUPPLIER, AMOUNT ,Date,TENDER NO.
Procurement,10427,10427,TRUE,Kenya Institute of Supplies Management,"784,740.00",13-Jan-2022,Government Agency
HCDA,10428,10428,TRUE,Total Energies Marketing Kenya PLC,"155,479.50",13-Jan-2022,CONTRACT
,Missing,10429,FALSE,,,0-Jan-1900,
HCDA,10430,10430,TRUE,Postal Corporation of Kenya,"58,000.00",13-Jan-2022,CONTRACT
HCDA,10431,10431,TRUE,Kipevu Restaurant Ltd,"150,280.00",13-Jan-2022,CONTRACT
HCDA,10432,10432,TRUE,Vinstar Expess Supplies Limited,"145,500.00",13-Jan-2022,CONTRACT
HCDA,10433,10433,TRUE,Koba Waters Limited,"32,950.00",13-Jan-2022,CONTRACT
HCDA,10434,10434,TRUE,PTG Travel Limited,"92,948.90",13-Jan-2022,CONTRACT
Legal,10435,10435,TRUE,Movenpick Hotel,"40,000.00",14-Jan-2022,
HCDA,10436,10436,TRUE,Machakos University,"130,000.00",1-Jul-2022,RBA/RFQ/CONFERENCE/613/1428/2022
HCDA,10437,10437,TRUE,Morendat Training Conference Center,"244,500.00",14-Jan-2022,RBA/DP/CONFERENCE/613/1461/2022
ICT,10438,10438,TRUE,Machakos University,"280,000.00",14-Jan-2022,RBA/DP/CONFERENCE/613/1460/2022
Legal,10439,10439,TRUE,Miller and Company Advocates,"290,000.00",17-Jan-2022,RBA/RFQ/LEGALSERVICES/613/1457/2022
Research,10440,10440,TRUE,Rex Kiosk,"18,888.00",18-Jan-2022,CONTRACT
HCDA,10441,10441,TRUE,Spot On Enterprise,"19,600.00",20-Jan-2022,RBA/LVP/WORKTICKET/613/20/01/2022
MC,10442,10442,TRUE,Rusinga Island Lodge,"1,361,000.00",13-Dec-2021,RBA/RFQ/CONFACC/613/1447/2021
MC,10443,10443,TRUE,Grand Royal Swiss Hotel,"282,000.00",20-Jan-2022,RBA/RFQ/CONFERENCE/613/1441/2021
HCDA,10444,10444,TRUE,Botinani Productions,"8,500.00",21-Jan-2022,RBA/LVP/PHOTOGRAPHY/613/20/01/2022
HCDA,10445,10445,TRUE,Smoothel & Data Solutions Limited,"22,620.00",21-Jan-2022,RBA/LVP/STAFFID/613/21/01/2022
ICT,10446,10446,TRUE,Computerways Limited,"674,000",24-Jan-2022,RBA/RFQ/CABINETRELOCATION/613/1452/2021
CC,10447,10447,TRUE,Kenya Broadcasting Corporation,"174,000.00",25-Jan-2022,RBA/RT/RADIOINTERVIEW/613/1468/2022
Procurement,10448,10448,TRUE,Enashipai Resort & Spa,"270,000.00",25-Jan-2022,RBA/TENDER/FRAMEWORKHOTELS/613/1363/2021 
Supervision,10449,10449,TRUE,Lake Naivasha Resort,"121,500.00",27-Jan-2022,RBA/TENDER/FRAMEWORKHOTELS/613/1363/2021 
Legal,10450,10450,TRUE,Crowne Plaza Hotel,"163,800.00",24-Jan-2022,RBA/TENDER/FRAMEWORKHOTELS/613/1363/2021 
,Missing,10451,FALSE,,,0-Jan-1900,
,Missing,10452,FALSE,,,0-Jan-1900,
,Missing,10453,FALSE,,,0-Jan-1900,
,Missing,10454,FALSE,,,0-Jan-1900,
,Missing,10455,FALSE,,,0-Jan-1900,
,Missing,10456,FALSE,,,0-Jan-1900,
,Missing,10457,FALSE,,,0-Jan-1900,
,Missing,10458,FALSE,,,0-Jan-1900,
,Missing,10459,FALSE,,,0-Jan-1900,
,Missing,10460,FALSE,,,0-Jan-1900,
,Missing,10461,FALSE,,,0-Jan-1900,
,Missing,10462,FALSE,,,0-Jan-1900,
,Missing,10463,FALSE,,,0-Jan-1900,
,Missing,10464,FALSE,,,0-Jan-1900,
,Missing,10465,FALSE,,,0-Jan-1900,
,Missing,10466,FALSE,,,0-Jan-1900,
,Missing,10467,FALSE,,,0-Jan-1900,
,Missing,10468,FALSE,,,0-Jan-1900,
,Missing,10469,FALSE,,,0-Jan-1900,
,Missing,10470,FALSE,,,0-Jan-1900,
,Missing,10471,FALSE,,,0-Jan-1900,
,Missing,10472,FALSE,,,0-Jan-1900,
,Missing,10473,FALSE,,,0-Jan-1900,
,Missing,10474,FALSE,,,0-Jan-1900,
,Missing,10475,FALSE,,,0-Jan-1900,
,Missing,10476,FALSE,,,0-Jan-1900,
,Missing,10477,FALSE,,,0-Jan-1900,
,Missing,10478,FALSE,,,0-Jan-1900,
,Missing,10479,FALSE,,,0-Jan-1900,
,Missing,10480,FALSE,,,0-Jan-1900,
,Missing,10481,FALSE,,,0-Jan-1900,
,Missing,10482,FALSE,,,0-Jan-1900,
,Missing,10483,FALSE,,,0-Jan-1900,
,Missing,10484,FALSE,,,0-Jan-1900,
,Missing,10485,FALSE,,,0-Jan-1900,
,Missing,10486,FALSE,,,0-Jan-1900,
,Missing,10487,FALSE,,,0-Jan-1900,
,Missing,10488,FALSE,,,0-Jan-1900,
